192.168.1.10 - - [05/Dec/2024:10:15:45 +0000] "POST /login HTTP/1.1" 200 5320
192.168.1.11 - - [05/Dec/2024:10:16:50 +0000] "POST /login HTTP/1.1" 401 2340
192.168.1.11 - - [05/Dec/2024:10:17:02 +0000] "POST /login HTTP/1.1" 401 2340
192.168.1.11 - - [05/Dec/2024:10:18:10 +0000] "POST /login HTTP/1.1" 401 2340
192.168.1.11 - - [05/Dec/2024:10:19:30 +0000] "POST /login HTTP/1.1" 401 2340
192.168.1.11 - - [05/Dec/2024:10:20:45 +0000] "POST /login HTTP/1.1" 401 2340
172.16.0.5 - - [05/Dec/2024:10:21:03 +0000] "GET /home HTTP/1.1" 200 3020
192.168.1.112 - - [05/Dec/2024:10:20:45 +0000] "POST /login HTTP/1.1" 406 2340
192.168.1.112 - - [05/Dec/2024:10:20:45 +0000] "POST /login HTTP/1.1" 406 2340
192.168.1.112 - - [05/Dec/2024:10:20:45 +0000] "POST /login HTTP/1.1" 406 2340
192.168.1.112 - - [05/Dec/2024:10:20:45 +0000] "POST /login HTTP/1.1" 406 2340
192.168.1.112 - - [05/Dec/2024:10:20:45 +0000] "POST /login HTTP/1.1" 406 2340
192.168.1.122 - - [05/Dec/2024:10:20:45 +0000] "POST /login HTTP/1.1" 404 2340
192.168.1.122 - - [05/Dec/2024:10:20:45 +0000] "POST /login HTTP/1.1" 404 2340
192.168.1.122 - - [05/Dec/2024:10:20:45 +0000] "POST /login HTTP/1.1" 404 2340
192.168.1.122 - - [05/Dec/2024:10:20:45 +0000] "POST /login HTTP/1.1" 404 2340
192.168.1.122 - - [05/Dec/2024:10:20:45 +0000] "POST /login HTTP/1.1" 404 2340
192.168.1.122 - - [05/Dec/2024:10:20:45 +0000] "POST /login HTTP/1.1" 404 2340
192.168.1.122 - - [05/Dec/2024:10:20:45 +0000] "POST /login HTTP/1.1" 404 2340
192.168.1.122 - - [05/Dec/2024:10:20:45 +0000] "POST /login HTTP/1.1" 404 2340
10.0.0.50 - - [05/Dec/2024:10:20:45 +0000] "POST /login HTTP/1.1" 401 2340
192.11.1.112 - - [05/Dec/2024:10:20:45 +0000] "POST /login HTTP/1.1" 407 2340
192.11.1.112 - - [05/Dec/2024:10:20:45 +0000] "POST /login HTTP/1.1" 407 2340
192.11.1.112 - - [05/Dec/2024:10:20:45 +0000] "POST /login HTTP/1.1" 407 2340
192.11.1.112 - - [05/Dec/2024:10:20:45 +0000] "POST /login HTTP/1.1" 407 2340
192.11.1.112 - - [05/Dec/2024:10:20:45 +0000] "POST /login HTTP/1.1" 407 2340

